收集到的一些通用软件的名称和网址，收藏挖洞

名称	                                   网址
Chrome       	https://www.google.cn/intl/zh-CN/chrome/
FireFox		    http://www.firefox.com.cn/
Safari		      None	
Ubuntu        https://ubuntu.com/download
debain        https://www.debian.org/
centos        https://www.centos.org/
WordPress	    https://wordpress.org/download/		
phpBB		      https://www.phpbb.com/		
MyBB		      https://github.com/mybb
MediaWiki	    https://www.mediawiki.org/		
Tornado		    http://www.tornadoweb.org/		
Cacti		      https://www.cacti.net/		
SquirrelMail	https://squirrelmail.org/		
RoundCube	    https://roundcube.net/		
Flask		      https://github.com/pallets/flask		
Drupal		    https://www.drupal.org/		
vBulletin	  	https://www.vbulletin.com/				
Jenkins		    https://jenkins.io/		
FCKEditor	  	https://ckeditor.com/		
Joomla		    https://www.joomla.org/
Webmin	    	http://www.webmin.com/		
Spring Framework	https://projects.spring.io/spring-framework/		
HttpFileServer http://www.rejetto.com/hfs/		
Yii		        https://www.yiiframework.com/		
Empire CMS	  http://www.phome.net/		
Solr		      http://lucene.apache.org/solr/		
Laravel		    https://laravel.com/		
Fastjson		  https://github.com/alibaba/fastjson		
Magento		    https://magento.com/		
OpenCart	  	https://github.com/opencart/opencart
XAMPP		      https://www.apachefriends.org/zh_cn/index.html		
ActiveMQ		  http://activemq.apache.org/		
ZenTao PMS	  http://www.zentao.net/		
Hudson		    http://jenkins-ci.org/		
Redmine	    	https://www.redmine.org/		
Kibana		    https://www.elastic.co/products/kibana		
phpCMS	    	http://www.phpcms.cn/
Zimbra	    	https://www.zimbra.com/		
Piwik		      https://matomo.org		
DokuWiki	  	https://www.dokuwiki.org/dokuwiki		
PHPWind		    https://www.phpwind.com/					
BIGipServer	  https://f5.com/products/big-ip		
ThinkSNS		  http://thinksns.com/			
Openfire		  https://www.igniterealtime.org/projects/openfire/		
Zabbix	    	https://www.zabbix.com/		
Atlassian Confluence	https://www.atlassian.com/software/confluence		
Sentry		    https://sentry.io/		
Horde		      https://www.horde.org/apps/horde/		
CMSTOP	    	http://www.cmstop.com/		
Destoon		    https://www.destoon.com/		
MetInfo		    https://www.metinfo.cn/		
Django		    https://www.djangoproject.com/		
phpMyAdmin	  https://www.phpmyadmin.net/			
HiShop		    http://www.hishop.com.cn/				
PHP168		    http://www.php168.net/		
Gogs		      https://gogs.io/			
B2Bbuilder	  http://www.b2b-builder.com/		
emlog		      http://www.emlog.net/		
Discuz!	    	http://www.discuz.net						
Z-Blog	    	https://www.zblogcn.com/		
GitLab		    https://gitlab.com		
WebX	      	http://www.openwebx.org/		
Struts2	    	https://struts.apache.org/		
ElasticSearch	https://www.elastic.co/cn/		
ThinkPHP		  http://www.thinkphp.cn/		
DedeCMS		    http://www.dedecms.com		
ECShop		    http://yunqi.shopex.cn/products/ecshop		
Atlassian Jira	https://www.atlassian.com/software/jira
万户EZ	       http://www.whir.net/cn/cpzx/index_2.html	
亿邮		       http://www.eyou.net/	
OA

