收集到的一些开源通用软件的名称和网址，收藏挖洞

名称	                                   网址		
WordPress	https://wordpress.org/download/		
phpBB		https://www.phpbb.com/		
MyBB		https://github.com/mybb		
MediaWiki	https://www.mediawiki.org/		
Tornado		http://www.tornadoweb.org/		
Cacti		https://www.cacti.net/		
SquirrelMail	https://squirrelmail.org/		
RoundCube	https://roundcube.net/		
Flask		https://github.com/pallets/flask		
Drupal		https://www.drupal.org/		
vBulletin		https://www.vbulletin.com/		
live800		https://www.live800.com/		
Jenkins		https://jenkins.io/		
FCKEditor		https://ckeditor.com/		
Joomla		https://www.joomla.org/		
Webmin		http://www.webmin.com/		
Spring Framework	https://projects.spring.io/spring-framework/		
HttpFileServer	http://www.rejetto.com/hfs/		
Yii		https://www.yiiframework.com/		
Empire CMS	http://www.phome.net/		
Solr		http://lucene.apache.org/solr/		
Laravel		https://laravel.com/		
Fastjson		https://github.com/alibaba/fastjson		
Magento		https://magento.com/		
OpenCart		https://github.com/opencart/opencart		
XAMPP		https://www.apachefriends.org/zh_cn/index.html		
ActiveMQ		http://activemq.apache.org/		
ZenTao PMS	http://www.zentao.net/		
Hudson		http://jenkins-ci.org/		
亿邮		http://www.eyou.net/		
Redmine		https://www.redmine.org/		
Kibana		https://www.elastic.co/products/kibana		
phpCMS		http://www.phpcms.cn/		
Zimbra		https://www.zimbra.com/		
Piwik		https://matomo.org		
DokuWiki		https://www.dokuwiki.org/dokuwiki		
WildFly		http://wildfly.org/		
ShopEx		http://www.shopex.cn/		
ownCloud		https://owncloud.org/		
金蝶OA		http://www.kingdee.com/solutions/field/oa		
Typecho		http://typecho.org/		
TRS WCM		http://www.trs.com.cn/		
TurboMail		http://www.turbomail.org/		
CodeIgniter	https://codeigniter.com/		
PHPWind		https://www.phpwind.com/		
泛微OA		http://www.weaver.com.cn/		
深信服VPN	http://www.sangfor.com.cn/product/net-safe-ssl.html		
F5-BIGipServer	https://f5.com/products/big-ip		
ThinkSNS		http://thinksns.com/		
万户EZ		http://www.whir.net/cn/cpzx/index_2.html		
Openfire		https://www.igniterealtime.org/projects/openfire/		
Zabbix		https://www.zabbix.com/		
Atlassian Confluence	https://www.atlassian.com/software/confluence		
Sentry		https://sentry.io/		
Horde		https://www.horde.org/apps/horde/		
CMSTOP		http://www.cmstop.com/		
Destoon		https://www.destoon.com/		
MetInfo		https://www.metinfo.cn/		
Django		https://www.djangoproject.com/		
phpMyAdmin	https://www.phpmyadmin.net/		
AMH 云主机面板	http://amh.sh/		
HiShop		http://www.hishop.com.cn/		
WDCP 主机管理系统	http://www.wdlinux.cn/		
PHP168		http://www.php168.net/		
齐博CMS		http://www.qibosoft.com/		
Gogs		https://gogs.io/		
主机宝		http://z.admin5.com		
B2Bbuilder	http://www.b2b-builder.com/		
emlog		http://www.emlog.net/		
KesionCMS	http://www.kesion.com/aspb/		
PbootCMS	http://www.asp4cms.com/		
Odoo		https://www.odoo.com/zh_CN/		
SiteServer CMS	http://www.siteserver.cn/		
微擎		https://www.we7.cc/		
74cms		http://www.74cms.com/		
ownCloud		https://owncloud.org/		
通达OA		https://www.tongda2000.com/		
HDwiki		http://kaiyuan.hudong.com/		
ShopEx		http://www.shopex.cn/		
金蝶OA		http://www.kingdee.com/solutions/field/oa		
Apache Hadoop	http://hadoop.apache.org/		
cPanel		https://cpanel.com/		
Spring Boot	https://projects.spring.io/spring-boot/		
Discuz!		http://www.discuz.net		
致远OA		http://www.seeyon.com/		
CoreMail		http://www.coremail.cn/		
Z-Blog		https://www.zblogcn.com/		
GitLab		https://gitlab.com		
WebX		http://www.openwebx.org/		
Struts2		https://struts.apache.org/		
ElasticSearch	https://www.elastic.co/cn/		
ThinkPHP		http://www.thinkphp.cn/		
DedeCMS		http://www.dedecms.com		
ECShop		http://yunqi.shopex.cn/products/ecshop		
Atlassian Jira	https://www.atlassian.com/software/jira		
